sample_id,model,generation,problem_key,test_idx,correct,timeout,sanitizer_triggered,sanitizer_errors,sanitizer_cwes,returncode
human/soln1/00000/0029_331_E2._Deja_Vu.cpp,human,soln1,331_E2_Deja_Vu,0,True,False,False,,,0
human/soln1/00000/0029_331_E2._Deja_Vu.cpp,human,soln1,331_E2_Deja_Vu,1,True,False,False,,,0
human/soln1/00000/0029_331_E2._Deja_Vu.cpp,human,soln1,331_E2_Deja_Vu,2,True,False,False,,,0
human/soln1/00000/0029_331_E2._Deja_Vu.cpp,human,soln1,331_E2_Deja_Vu,3,True,False,False,,,0
human/soln1/00000/0029_331_E2._Deja_Vu.cpp,human,soln1,331_E2_Deja_Vu,4,True,False,False,,,0
human/soln1/00000/0029_331_E2._Deja_Vu.cpp,human,soln1,331_E2_Deja_Vu,5,True,False,False,,,0
human/soln1/00000/0029_331_E2._Deja_Vu.cpp,human,soln1,331_E2_Deja_Vu,6,True,False,False,,,0
human/soln1/00000/0029_331_E2._Deja_Vu.cpp,human,soln1,331_E2_Deja_Vu,7,True,False,False,,,0
human/soln1/00000/0029_331_E2._Deja_Vu.cpp,human,soln1,331_E2_Deja_Vu,8,True,False,False,,,0
human/soln1/00000/0029_331_E2._Deja_Vu.cpp,human,soln1,331_E2_Deja_Vu,9,True,False,False,,,0
human/soln1/00000/0029_331_E2._Deja_Vu.cpp,human,soln1,331_E2_Deja_Vu,10,True,False,False,,,0
human/soln1/00000/0029_331_E2._Deja_Vu.cpp,human,soln1,331_E2_Deja_Vu,11,True,False,False,,,0
human/soln1/00000/0029_331_E2._Deja_Vu.cpp,human,soln1,331_E2_Deja_Vu,12,True,False,False,,,0
human/soln1/00000/0029_331_E2._Deja_Vu.cpp,human,soln1,331_E2_Deja_Vu,13,True,False,False,,,0
human/soln1/00000/0029_331_E2._Deja_Vu.cpp,human,soln1,331_E2_Deja_Vu,14,True,False,False,,,0
human/soln1/00000/0032_39_H._Multiplication_Table.cpp,human,soln1,39_H_Multiplication_Table,0,False,False,False,,,0
human/soln1/00000/0032_39_H._Multiplication_Table.cpp,human,soln1,39_H_Multiplication_Table,1,False,False,False,,,0
human/soln1/00000/0032_39_H._Multiplication_Table.cpp,human,soln1,39_H_Multiplication_Table,2,False,False,False,,,0
human/soln1/00000/0032_39_H._Multiplication_Table.cpp,human,soln1,39_H_Multiplication_Table,3,False,False,False,,,0
human/soln1/00000/0032_39_H._Multiplication_Table.cpp,human,soln1,39_H_Multiplication_Table,4,False,False,False,,,0
human/soln1/00000/0032_39_H._Multiplication_Table.cpp,human,soln1,39_H_Multiplication_Table,5,False,False,False,,,0
human/soln1/00000/0032_39_H._Multiplication_Table.cpp,human,soln1,39_H_Multiplication_Table,6,True,False,False,,,0
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,937_D_Sleepy_Game,0,True,False,False,,,0
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,937_D_Sleepy_Game,1,True,False,False,,,0
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,937_D_Sleepy_Game,2,True,False,False,,,0
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,937_D_Sleepy_Game,3,True,False,False,,,0
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,937_D_Sleepy_Game,4,True,False,False,,,0
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,937_D_Sleepy_Game,5,True,False,False,,,0
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,937_D_Sleepy_Game,6,True,False,False,,,0
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,937_D_Sleepy_Game,7,True,False,False,,,0
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,937_D_Sleepy_Game,8,True,False,False,,,0
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,937_D_Sleepy_Game,9,True,False,False,,,0
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,937_D_Sleepy_Game,10,True,False,False,,,0
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,937_D_Sleepy_Game,11,True,False,False,,,0
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,937_D_Sleepy_Game,12,True,False,False,,,0
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,937_D_Sleepy_Game,13,False,False,False,,,0
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,937_D_Sleepy_Game,14,True,False,False,,,0
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,937_D_Sleepy_Game,15,True,False,False,,,0
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,937_D_Sleepy_Game,16,True,False,False,,,0
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,937_D_Sleepy_Game,17,True,False,False,,,0
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,937_D_Sleepy_Game,18,True,False,False,,,0
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,937_D_Sleepy_Game,19,True,False,False,,,0
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,937_D_Sleepy_Game,20,True,False,False,,,0
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,937_D_Sleepy_Game,21,True,False,False,,,0
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,937_D_Sleepy_Game,22,True,False,False,,,0
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,937_D_Sleepy_Game,23,True,False,False,,,0
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,937_D_Sleepy_Game,24,True,False,False,,,0
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,937_D_Sleepy_Game,25,True,False,False,,,0
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,937_D_Sleepy_Game,26,True,False,False,,,0
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,937_D_Sleepy_Game,27,True,False,False,,,0
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,937_D_Sleepy_Game,28,True,False,False,,,0
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,937_D_Sleepy_Game,29,True,False,False,,,0
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,937_D_Sleepy_Game,30,True,False,False,,,0
human/soln1/00000/0223_937_D._Sleepy_Game.cpp,human,soln1,937_D_Sleepy_Game,31,True,False,False,,,0
human/soln1/00000/0177_1208_A._XORinacci.cpp,human,soln1,1208_A_XORinacci,0,True,False,False,,,0
human/soln1/00000/0177_1208_A._XORinacci.cpp,human,soln1,1208_A_XORinacci,1,True,False,False,,,0
human/soln1/00000/0177_1208_A._XORinacci.cpp,human,soln1,1208_A_XORinacci,2,True,False,False,,,0
human/soln1/00000/0177_1208_A._XORinacci.cpp,human,soln1,1208_A_XORinacci,3,True,False,False,,,0
human/soln1/00000/0177_1208_A._XORinacci.cpp,human,soln1,1208_A_XORinacci,4,True,False,False,,,0
human/soln1/00000/0122_551_B._ZgukistringZ.cpp,human,soln1,551_B_ZgukistringZ,0,True,False,False,,,0
human/soln1/00000/0122_551_B._ZgukistringZ.cpp,human,soln1,551_B_ZgukistringZ,1,True,False,False,,,0
human/soln1/00000/0122_551_B._ZgukistringZ.cpp,human,soln1,551_B_ZgukistringZ,2,True,False,False,,,0
human/soln1/00000/0122_551_B._ZgukistringZ.cpp,human,soln1,551_B_ZgukistringZ,3,True,False,False,,,0
human/soln1/00000/0122_551_B._ZgukistringZ.cpp,human,soln1,551_B_ZgukistringZ,4,True,False,False,,,0
human/soln1/00000/0122_551_B._ZgukistringZ.cpp,human,soln1,551_B_ZgukistringZ,5,True,False,False,,,0
human/soln1/00000/0122_551_B._ZgukistringZ.cpp,human,soln1,551_B_ZgukistringZ,6,True,False,False,,,0
human/soln1/00000/0122_551_B._ZgukistringZ.cpp,human,soln1,551_B_ZgukistringZ,7,True,False,False,,,0
human/soln1/00000/0122_551_B._ZgukistringZ.cpp,human,soln1,551_B_ZgukistringZ,8,True,False,False,,,0
human/soln1/00000/0122_551_B._ZgukistringZ.cpp,human,soln1,551_B_ZgukistringZ,9,True,False,False,,,0
human/soln1/00000/0122_551_B._ZgukistringZ.cpp,human,soln1,551_B_ZgukistringZ,10,True,False,False,,,0
human/soln1/00000/0122_551_B._ZgukistringZ.cpp,human,soln1,551_B_ZgukistringZ,11,True,False,False,,,0
human/soln1/00000/0122_551_B._ZgukistringZ.cpp,human,soln1,551_B_ZgukistringZ,12,True,False,False,,,0
human/soln1/00000/0122_551_B._ZgukistringZ.cpp,human,soln1,551_B_ZgukistringZ,13,True,False,False,,,0
human/soln1/00000/0122_551_B._ZgukistringZ.cpp,human,soln1,551_B_ZgukistringZ,14,True,False,False,,,0
